ID_Foto,foto_Prodcutos_url,ID_PRODUCTO
1,https://png.pngtree.com/png-vector/20240206/ourmid/pngtree-gallon-of-milk-isolated-on-white-drink-cutout-lactosefresh-png-image_11635524.png,P-10001
2,https://hslegumbres.com.ar/wp-content/uploads/2019/09/legumbres-min.png,P-10002
3,https://png.pngtree.com/png-clipart/20231122/original/pngtree-group-of-fresh-fruits-many-photo-png-image_13690072.png,P-10003
4,https://png.pngtree.com/png-clipart/20230929/original/pngtree-whole-wheat-bread-cutout-png-file-png-image_13018044.png,P-10004
5,https://cdn-icons-png.freepik.com/512/5029/5029264.png,P-10005
6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4_WmdkkAcceSl35xcwCOyP36s_xHnu0Yh2A&s,P-10006
7,https://acdn.mitiendanube.com/stores/001/926/707/products/mesa-de-trabajo-11-ab4aedeb4966ce692416358047799893-640-0.png,P-10007
8,https://perulabecologic.com.pe/wp-content/uploads/2020/04/yogurt-natural-botella.png,P-10008
9,https://studikard.com/wp-content/uploads/2021/11/Aceite-de-oliva-extra-virgen.png,P-10009
10,https://www.lenntech.com/images/Water/bottled.png,P-10010
11,https://img.pikbest.com/origin/09/05/38/99KpIkbEsTxDy.png!w700wp,P-10011
12,https://carnessanpietro.com/wp-content/uploads/2023/12/carne_carne-para-bistec.png,P-10012
13,https://res.cloudinary.com/oita/image/upload/v1688057414/Merco/Parte%205/7720_PESCADO_PARA_CALDO_m4getv.png,P-10013
14,https://covica.es/wp-content/uploads/2022/11/QUESOS_36-removebg-preview.png,P-10014
15,https://prodexspa.com/wp-content/uploads/2023/05/foto_miel_apoyo_low.png,P-10015
